"month","unique_carrier","carrier_name","sdomt_gallons","satl_gallons","spac_gallons","slat_gallons","sint_gallons","ts_gallons","tdomt_gallons","tint_gallons","total_gallons","sdomt_cost","satl_cost","spac_cost","slat_cost","sint_cost","ts_cost","tdomt_cost","tint_cost","total_cost","year"
4,"5X","United Parcel Service",40908000,11964000,16915000,3034000,31913000,72821000,40908000,31913000,72821000,84149000,23994000,34569000,6530000,65093000,149242000,84149000,65093000,149242000,2019
4,"5Y","Atlas Air Inc.",0,0,0,0,0,0,15865672,34294456,50160128,0,0,0,0,0,0,35939769,74764973,110704742,2019
4,"8C","Air Transport International",0,0,0,0,0,0,313624,782826,1096450,0,0,0,0,0,0,38574,2020064,2058638,2019
4,"9E","Endeavor Air Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
4,"9S","Southern Air Inc.",992362,2232567,4241516,0,6474083,7466445,992362,6474083,7466445,2221720,5212881,9035414,0,14248295,16470015,2221720,14248295,16470015,2019
4,"AA","American Airlines Inc.",180184898,49277957,18132384,42916293,110326634,290511532,180567823,110440799,291008622,362560543,99573979,36677163,90155938,226407080,588967623,363320993,226648425,589969418,2019
4,"ABX","ABX Air Inc",194952,0,0,0,0,194952,194952,0,194952,0,0,0,0,0,0,0,0,0,2019
4,"AS","Alaska Airlines Inc.",58372355,0,0,1293697,1293697,59666052,58432767,1293697,59726464,133673299,0,0,3411283,3411283,137084582,133797164,3411283,137208447,2019
4,"B6","JetBlue Airways",59527739,0,0,15649373,15649373,75177112,59527739,15649373,75177112,128724788,0,0,33840732,33840732,162565520,128724788,33840732,162565520,2019
4,"CP","Compass Airlines",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
4,"DL","Delta Air Lines Inc.",178154335,62537834,29643566,23576826,115758226,293912561,180070679,116040467,296111146,359449469,126178189,59809739,47569302,233557230,593006699,364498097,234126688,598624785,2019
4,"EV","ExpressJet Airlines LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
4,"F9","Frontier Airlines Inc.",19681831,0,0,1940677,1940677,21622508,19681831,1940677,21622508,38668884,0,0,4094706,4094706,42763590,38668884,4094706,42763590,2019
4,"FX","Federal Express Corporation",56512179,15119466,22179883,1844567,39143916,95656095,58066815,39768042,97834857,114638000,30061000,44806000,4252000,79119000,193757000,117835000,80518000,198353000,2019
4,"G4","Allegiant Air",16794117,0,0,0,0,16794117,17181795,207518,17389313,37653594,0,0,0,0,37653594,38555060,483463,39038523,2019
4,"G7","GoJet Airlines LLC d/b/a United Express",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
4,"GFQ","Gulf And Caribbean Cargo",0,0,0,0,0,0,120666,124444,245110,0,0,0,0,0,0,307987,342835,650822,2019
4,"GL","Miami Air International",0,0,0,0,0,0,200346,315308,515654,0,0,0,0,0,0,546281,859747,1406028,2019
4,"HA","Hawaiian Airlines Inc.",15343204,0,6690692,0,6690692,22033896,15343204,6690692,22033896,31430036,0,13400043,0,13400043,44830079,31430036,13400043,44830079,2019
4,"KAQ","Kalitta Air LLC",0,0,0,0,0,0,3221168,4524751,7745919,0,0,0,0,0,0,6897031,10854673,17751704,2019
